IRIS,REG,DEP,P14_POP,P14_POP0014
012090000,84,01,687,175
012100000,84,01,238,39
012110000,84,01,1426,321
012120000,84,01,708,148
012130000,84,01,1248,290
012140000,84,01,152,21
012150000,84,01,49,10
012160000,84,01,884,155
012180000,84,01,96,25
012190000,84,01,166,34
012210000,84,01,115,19
012240000,84,01,3158,804
012250000,84,01,395,61
012270000,84,01,458,100
012280000,84,01,639,115
012290000,84,01,1149,270
012300000,84,01,306,70
012310000,84,01,1976,412
012320000,84,01,2205,389
012330000,84,01,130,30
012340000,84,01,172,21
012350000,84,01,1032,245
012360000,84,01,987,211
012370000,84,01,1573,370
012380000,84,01,2482,529
012390000,84,01,635,119
012400000,84,01,649,134
012410000,84,01,1310,242
012420000,84,01,124,29
012430000,84,01,1224,264
012440101,84,01,2767,542
012440102,84,01,2333,462
012440103,84,01,2439,599
012450000,84,01,884,178
012460000,84,01,2137,442
012470000,84,01,348,63
012480000,84,01,2130,384
012490101,84,01,2488,508
012490102,84,01,3991,776
012490103,84,01,2946,637
012500000,84,01,1877,367
012520000,84,01,779,166
012540000,84,01,1893,364
012550000,84,01,584,134
012570000,84,01,343,59
012580000,84,01,1211,254
012590000,84,01,663,152
012600000,84,01,272,58
012610000,84,01,655,131
012620101,84,01,3444,743
012620102,84,01,3592,772
012630000,84,01,3811,790
012640000,84,01,1013,235
012650000,84,01,3409,705
012660000,84,01,2452,395
012670000,84,01,1027,206
012680000,84,01,253,51
012690000,84,01,3534,739
012720000,84,01,1494,278
012730000,84,01,1645,347
012740000,84,01,638,144
012750000,84,01,2467,440
012760000,84,01,1529,310
012770000,84,01,119,25
012790000,84,01,96,15
012800000,84,01,157,34
012810000,84,01,4303,1007
012820000,84,01,258,51
012830102,84,01,2147,574
012830103,84,01,2817,678
012830104,84,01,2338,783
012830201,84,01,2488,497
012830202,84,01,2081,349
012830203,84,01,2329,493
012830301,84,01,2536,534
012830302,84,01,18,0
012830303,84,01,2178,534
012830304,84,01,1975,311
012830305,84,01,1447,237
012830306,84,01,132,30
012840000,84,01,659,137
012850000,84,01,1153,256
012860000,84,01,936,189
012880000,84,01,2489,567
012890101,84,01,2732,442
012890102,84,01,3464,518
012900000,84,01,1206,190
012910000,84,01,796,163
012930000,84,01,178,40
012940000,84,01,838,161
012950000,84,01,640,177
012960000,84,01,396,87
012970000,84,01,749,141
012980000,84,01,123,21
012990000,84,01,530,112
013010000,84,01,2489,458
013020000,84,01,158,20
013030000,84,01,1681,361
013040000,84,01,2801,613
013050000,84,01,2290,359
013060000,84,01,1595,255
013070000,84,01,846,158
013080000,84,01,818,176
013090000,84,01,93,20
013100000,84,01,229,33
013110000,84,01,46,9
013130000,84,01,7710,1938
013140000,84,01,1666,371
013160000,84,01,160,28
013170000,84,01,305,71
013180000,84,01,703,162
013190000,84,01,467,98
013200000,84,01,3662,775
013210000,84,01,920,237
013220000,84,01,4490,940
013230000,84,01,965,199
013250000,84,01,968,189
013280000,84,01,600,113
013290000,84,01,146,12
013300000,84,01,187,29
013310000,84,01,171,28
013320000,84,01,726,162
013330000,84,01,3016,556
013340000,84,01,557,130
013350000,84,01,368,94
013360000,84,01,1125,250
013370000,84,01,1232,269
013380000,84,01,1191,245
013390000,84,01,1416,254
013410000,84,01,159,31
013420000,84,01,547,127
013430000,84,01,1730,399
013440000,84,01,5505,916
013450000,84,01,2255,438
013460000,84,01,890,207
013470000,84,01,1853,380
013480000,84,01,2799,589
013490000,84,01,448,74
013500000,84,01,2574,512
013510000,84,01,1529,373
013520000,84,01,563,125
013530000,84,01,1632,394
013540101,84,01,3555,905
013540102,84,01,3248,641
013540103,84,01,3051,634
013550000,84,01,473,106
013560000,84,01,219,64
013570000,84,01,490,104
013580000,84,01,417,84
013590000,84,01,232,43
013600000,84,01,1586,314
013610000,84,01,1426,291
013620000,84,01,784,185
013630000,84,01,1664,311
013640000,84,01,736,126
013650000,84,01,1090,236
013660000,84,01,962,254
013670000,84,01,731,164
013680000,84,01,760,187
013690000,84,01,898,144
013700000,84,01,1783,250
013710000,84,01,1350,314
013720000,84,01,431,95
013730000,84,01,1088,193
013740000,84,01,1757,355
013750000,84,01,804,170
013760000,84,01,3962,773
013780000,84,01,2461,560
013790000,84,01,744,165
013800000,84,01,685,136
013810000,84,01,909,246
013820000,84,01,291,58
013830000,84,01,1464,313
013840000,84,01,2265,470
013850000,84,01,984,181
013860000,84,01,1110,227
013870000,84,01,214,63
013880000,84,01,1099,149
013890000,84,01,1848,381
013900000,84,01,1126,243
013910000,84,01,293,41
013920000,84,01,668,149
013930000,84,01,514,129
013960000,84,01,1010,186
013970000,84,01,1048,198
013980000,84,01,1268,293
013990000,84,01,1923,401
014000000,84,01,139,22
014010000,84,01,2022,500
014020000,84,01,699,140
014030000,84,01,1286,266
014040000,84,01,125,15
014050000,84,01,1206,285
014060000,84,01,174,25
014070000,84,01,981,197
014080000,84,01,694,150
014100000,84,01,322,66
014110000,84,01,265,48
014120000,84,01,558,123
014130000,84,01,73,5
014140000,84,01,214,30
014150000,84,01,439,71
014160000,84,01,1050,183
014170000,84,01,304,57
014180000,84,01,1041,230
014190000,84,01,6061,1357
014200000,84,01,1671,263
014210000,84,01,732,131
014220000,84,01,1366,270
014230000,84,01,824,153
014240000,84,01,1665,293
014250000,84,01,295,60
014260000,84,01,2549,518
014270101,84,01,2334,607
014270102,84,01,4368,874
014280000,84,01,133,41
014290000,84,01,678,157
014300000,84,01,531,99
014310000,84,01,1219,258
014320000,84,01,261,50
014330000,84,01,322,83
014340000,84,01,397,79
014350000,84,01,2170,528
014360000,84,01,515,95
014370000,84,01,246,62
014390000,84,01,100,20
014410000,84,01,683,155
014420000,84,01,376,66
014430000,84,01,4447,735
014440000,84,01,1162,250
014450000,84,01,664,172
014460000,84,01,1427,360
014470000,84,01,1260,228
014480000,84,01,356,66
014490000,84,01,704,150
014500000,84,01,3429,802
014510101,84,01,1563,300
014510102,84,01,4687,884
014520000,84,01,1075,185
014530000,84,01,304,34
014540000,84,01,1054,242
014560000,84,01,71,11
014570000,84,01,2922,564
020010000,32,02,510,100
020020000,32,02,614,137
020030000,32,02,1013,206
020040000,32,02,189,25
020050000,32,02,405,88
020060000,32,02,256,35
020070000,32,02,119,17
020080000,32,02,299,80
020090000,32,02,538,122
020100000,32,02,170,46
020110000,32,02,1145,220
020120000,32,02,71,12
020130000,32,02,413,97
020140000,32,02,741,157
020150000,32,02,79,12
020160000,32,02,218,55
020170000,32,02,308,77
020180000,32,02,1944,336
020190000,32,02,379,65
020200000,32,02,460,95
020210000,32,02,85,12
020220000,32,02,403,86
020230000,32,02,106,14
020240000,32,02,54,10
020250000,32,02,366,76
